,StudentID,AssignmentID,WhileCount
0,Student1,Assign6,0
1,Student1,Assign7,0
2,Student1,Assign8,1
3,Student1,Assign9,3
4,Student1,Assign10,1
5,Student1,Assign11,0
6,Student1,Assign12,0
7,Student1,Assign13,1
8,Student2,Assign6,1
9,Student2,Assign7,0
10,Student2,Assign8,1
11,Student2,Assign9,3
12,Student2,Assign10,2
13,Student2,Assign11,1
14,Student2,Assign12,0
15,Student2,Assign13,0
16,Student3,Assign6,0
17,Student3,Assign7,3
18,Student3,Assign8,1
19,Student3,Assign9,2
20,Student3,Assign10,1
21,Student3,Assign11,1
22,Student3,Assign12,6
23,Student3,Assign13,1
24,Student4,Assign6,24
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,5
39,Student5,Assign13,2
40,Student6,Assign6,0
41,Student6,Assign7,0
42,Student6,Assign8,2
43,Student6,Assign9,3
44,Student6,Assign10,1
45,Student6,Assign11,2
46,Student6,Assign12,2
47,Student6,Assign13,1
48,Student7,Assign6,0
49,Student7,Assign7,0
50,Student7,Assign8,1
51,Student7,Assign9,2
52,Student7,Assign10,1
53,Student7,Assign11,1
54,Student7,Assign12,2
55,Student7,Assign13,1
56,Student8,Assign6,0
57,Student8,Assign7,0
58,Student8,Assign8,1
59,Student8,Assign9,3
60,Student8,Assign10,1
61,Student8,Assign11,1
62,Student8,Assign12,1
63,Student8,Assign13,0
64,Student9,Assign6,5
65,Student9,Assign7,0
66,Student9,Assign8,1
67,Student9,Assign9,2
68,Student9,Assign10,1
69,Student9,Assign11,1
70,Student9,Assign12,11
71,Student9,Assign13,2
72,Student10,Assign6,0
73,Student10,Assign7,0
74,Student10,Assign8,1
75,Student10,Assign9,6
76,Student10,Assign10,1
77,Student10,Assign11,1
78,Student10,Assign12,1
79,Student10,Assign13,0
80,Student11,Assign6,2
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,0
89,Student12,Assign7,0
90,Student12,Assign8,0
91,Student12,Assign9,2
92,Student12,Assign10,1
93,Student12,Assign11,0
94,Student12,Assign12,4
95,Student12,Assign13,5
96,Student13,Assign6,0
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,0
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,3
113,Student15,Assign7,1
114,Student15,Assign8,2
115,Student15,Assign9,4
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,1
121,Student16,Assign7,0
122,Student16,Assign8,0
123,Student16,Assign9,3
124,Student16,Assign10,1
125,Student16,Assign11,1
126,Student16,Assign12,3
