,StudentID,AssignmentID,ForCount
0,Student1,Assign6,1
1,Student1,Assign7,2
2,Student1,Assign8,1
3,Student1,Assign9,3
4,Student1,Assign10,0
5,Student1,Assign11,0
6,Student1,Assign12,0
7,Student1,Assign13,2
8,Student2,Assign6,1
9,Student2,Assign7,6
10,Student2,Assign8,6
11,Student2,Assign9,5
12,Student2,Assign10,1
13,Student2,Assign11,3
14,Student2,Assign12,1
15,Student2,Assign13,0
16,Student3,Assign6,2
17,Student3,Assign7,3
18,Student3,Assign8,2
19,Student3,Assign9,2
20,Student3,Assign10,0
21,Student3,Assign11,3
22,Student3,Assign12,8
23,Student3,Assign13,2
24,Student4,Assign6,30
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,11
39,Student5,Assign13,4
40,Student6,Assign6,1
41,Student6,Assign7,0
42,Student6,Assign8,6
43,Student6,Assign9,5
44,Student6,Assign10,6
45,Student6,Assign11,3
46,Student6,Assign12,8
47,Student6,Assign13,3
48,Student7,Assign6,1
49,Student7,Assign7,3
50,Student7,Assign8,1
51,Student7,Assign9,2
52,Student7,Assign10,1
53,Student7,Assign11,1
54,Student7,Assign12,2
55,Student7,Assign13,6
56,Student8,Assign6,1
57,Student8,Assign7,2
58,Student8,Assign8,2
59,Student8,Assign9,3
60,Student8,Assign10,0
61,Student8,Assign11,3
62,Student8,Assign12,1
63,Student8,Assign13,0
64,Student9,Assign6,4
65,Student9,Assign7,41
66,Student9,Assign8,4
67,Student9,Assign9,2
68,Student9,Assign10,0
69,Student9,Assign11,4
70,Student9,Assign12,10
71,Student9,Assign13,3
72,Student10,Assign6,0
73,Student10,Assign7,1
74,Student10,Assign8,2
75,Student10,Assign9,6
76,Student10,Assign10,0
77,Student10,Assign11,1
78,Student10,Assign12,7
79,Student10,Assign13,0
80,Student11,Assign6,10
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,1
89,Student12,Assign7,7
90,Student12,Assign8,0
91,Student12,Assign9,3
92,Student12,Assign10,0
93,Student12,Assign11,0
94,Student12,Assign12,8
95,Student12,Assign13,2
96,Student13,Assign6,2
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,5
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,18
113,Student15,Assign7,8
114,Student15,Assign8,5
115,Student15,Assign9,7
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,1
121,Student16,Assign7,6
122,Student16,Assign8,3
123,Student16,Assign9,4
124,Student16,Assign10,0
125,Student16,Assign11,1
126,Student16,Assign12,7
127,Student16,Assign13,5
128,Student17,Assign6,0
129,Student17,Assign7,2
130,Student17,Assign8,9
