,Unnamed: 0,Student,Assignment,NumOfShortPauses
5,5,Student26,Assign11,5301
3,3,Student26,Assign9,25486
1,1,Student26,Assign7,27359
0,0,Student26,Assign6,19352
2,2,Student26,Assign8,9722
169,169,Student27,Assign7,11431
171,171,Student27,Assign9,6006
168,168,Student27,Assign6,9395
173,173,Student27,Assign11,2052
174,174,Student27,Assign12,2287
175,175,Student27,Assign13,2944
172,172,Student27,Assign10,307
170,170,Student27,Assign8,10208
144,144,Student28,Assign6,9920
145,145,Student28,Assign7,6865
147,147,Student28,Assign9,8688
146,146,Student28,Assign8,6536
149,149,Student28,Assign11,2376
150,150,Student28,Assign12,10290
151,151,Student28,Assign13,2808
148,148,Student28,Assign10,397
181,181,Student29,Assign11,2399
179,179,Student29,Assign9,0
178,178,Student29,Assign8,15670
180,180,Student29,Assign10,219
177,177,Student29,Assign7,0
182,182,Student29,Assign12,6959
183,183,Student29,Assign13,1432
176,176,Student29,Assign6,13679
43,43,Student30,Assign9,12994
44,44,Student30,Assign10,6655
47,47,Student30,Assign13,1708
45,45,Student30,Assign11,4621
41,41,Student30,Assign7,17438
40,40,Student30,Assign6,18947
42,42,Student30,Assign8,8394
46,46,Student30,Assign12,11317
295,295,Student31,Assign13,0
291,291,Student31,Assign9,0
293,293,Student31,Assign11,0
292,292,Student31,Assign10,0
289,289,Student31,Assign7,4395
290,290,Student31,Assign8,0
294,294,Student31,Assign12,0
288,288,Student31,Assign6,6163
184,184,Student32,Assign6,12994
185,185,Student32,Assign7,11373
191,191,Student32,Assign13,0
190,190,Student32,Assign12,2560
186,186,Student32,Assign8,6020
189,189,Student32,Assign11,1622
188,188,Student32,Assign10,92
187,187,Student32,Assign9,6937
216,216,Student33,Assign6,8304
221,221,Student33,Assign11,1523
219,219,Student33,Assign9,4467
220,220,Student33,Assign10,2409
222,222,Student33,Assign12,7788
223,223,Student33,Assign13,0
217,217,Student33,Assign7,2128
218,218,Student33,Assign8,4686
231,231,Student34,Assign13,0
224,224,Student34,Assign6,5500
230,230,Student34,Assign12,3992
229,229,Student34,Assign11,2440
228,228,Student34,Assign10,458
227,227,Student34,Assign9,5631
226,226,Student34,Assign8,5951
225,225,Student34,Assign7,5788
311,311,Student35,Assign13,0
309,309,Student35,Assign11,0
308,308,Student35,Assign10,0
307,307,Student35,Assign9,0
304,304,Student35,Assign6,7515
305,305,Student35,Assign7,0
310,310,Student35,Assign12,0
306,306,Student35,Assign8,0
111,111,Student36,Assign13,2035
109,109,Student36,Assign11,5507
104,104,Student36,Assign6,11666
110,110,Student36,Assign12,2268
108,108,Student36,Assign10,268
106,106,Student36,Assign8,8949
105,105,Student36,Assign7,16593
107,107,Student36,Assign9,11137
162,162,Student37,Assign8,5690
161,161,Student37,Assign7,6100
160,160,Student37,Assign6,12432
166,166,Student37,Assign12,7
167,167,Student37,Assign13,195
164,164,Student37,Assign10,8028
165,165,Student37,Assign11,4147
163,163,Student37,Assign9,14548
72,72,Student38,Assign6,14470
73,73,Student38,Assign7,16916
74,74,Student38,Assign8,12864
75,75,Student38,Assign9,14910
76,76,Student38,Assign10,121
77,77,Student38,Assign11,3674
79,79,Student38,Assign13,2110
78,78,Student38,Assign12,0
20,20,Student39,Assign10,1556
17,17,Student39,Assign7,13076
19,19,Student39,Assign9,10358
