,StudentID,AssignmentID,Count
229,Student39,Assign12,10836
230,Student39,Assign13,6945
231,Student40,Assign6,18409
232,Student40,Assign7,13586
233,Student40,Assign8,10560
234,Student40,Assign9,7295
235,Student40,Assign10,278
236,Student40,Assign11,4616
237,Student40,Assign12,12307
238,Student41,Assign6,6435
239,Student42,Assign6,12544
240,Student42,Assign7,3522
241,Student42,Assign8,7996
242,Student42,Assign9,21244
243,Student42,Assign10,13905
244,Student42,Assign11,7599
245,Student42,Assign12,11498
246,Student42,Assign13,8480
247,Student43,Assign6,13098
248,Student43,Assign7,14818
249,Student43,Assign8,16528
250,Student43,Assign9,11988
251,Student43,Assign10,208
252,Student43,Assign11,1866
253,Student43,Assign12,5179
254,Student43,Assign13,5049
255,Student44,Assign6,9050
256,Student44,Assign7,10448
257,Student44,Assign8,6652
258,Student44,Assign9,3194
259,Student44,Assign10,402
260,Student44,Assign11,3276
261,Student44,Assign12,4146
