,StudentID,AssignmentID,Keystrokes_Count
233,Student30,Assign7,18131
234,Student30,Assign8,8792
235,Student30,Assign9,13524
236,Student30,Assign10,7339
237,Student30,Assign11,4897
238,Student30,Assign12,11753
239,Student30,Assign13,1816
240,Student31,Assign6,7494
241,Student31,Assign7,5011
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,14997
249,Student32,Assign7,12577
250,Student32,Assign8,6753
251,Student32,Assign9,7448
252,Student32,Assign10,115
253,Student32,Assign11,1741
254,Student32,Assign12,2804
255,Student32,Assign13,0
256,Student33,Assign6,9471
257,Student33,Assign7,2362
258,Student33,Assign8,5315
259,Student33,Assign9,5055
260,Student33,Assign10,2893
261,Student33,Assign11,1776
262,Student33,Assign12,9140
263,Student33,Assign13,0
264,Student34,Assign6,7104
265,Student34,Assign7,6829
266,Student34,Assign8,7162
267,Student34,Assign9,6001
268,Student34,Assign10,514
269,Student34,Assign11,2871
270,Student34,Assign12,4789
271,Student34,Assign13,0
272,Student35,Assign6,9376
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,12379
281,Student36,Assign7,17485
282,Student36,Assign8,9380
283,Student36,Assign9,11809
284,Student36,Assign10,394
285,Student36,Assign11,6690
286,Student36,Assign12,2366
287,Student36,Assign13,2100
288,Student37,Assign6,12767
289,Student37,Assign7,6403
290,Student37,Assign8,5941
291,Student37,Assign9,14892
292,Student37,Assign10,8055
293,Student37,Assign11,4360
294,Student37,Assign12,14
295,Student37,Assign13,213
296,Student38,Assign6,15252
297,Student38,Assign7,17294
298,Student38,Assign8,13222
299,Student38,Assign9,16374
300,Student38,Assign10,164
301,Student38,Assign11,4066
302,Student38,Assign12,0
303,Student38,Assign13,2546
304,Student39,Assign6,21116
305,Student39,Assign7,14375
306,Student39,Assign8,17438
307,Student39,Assign9,11704
308,Student39,Assign10,2095
309,Student39,Assign11,8232
310,Student39,Assign12,10836
311,Student39,Assign13,6945
312,Student40,Assign6,18409
313,Student40,Assign7,13586
314,Student40,Assign8,10560
315,Student40,Assign9,7295
316,Student40,Assign10,278
317,Student40,Assign11,4616
318,Student40,Assign12,12307
319,Student40,Assign13,0
320,Student41,Assign6,6435
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,12544
329,Student42,Assign7,3522
330,Student42,Assign8,7996
331,Student42,Assign9,21244
332,Student42,Assign10,13905
333,Student42,Assign11,7599
334,Student42,Assign12,11498
335,Student42,Assign13,8480
336,Student43,Assign6,13098
337,Student43,Assign7,14818
338,Student43,Assign8,16528
339,Student43,Assign9,11988
340,Student43,Assign10,208
341,Student43,Assign11,1866
342,Student43,Assign12,5179
343,Student43,Assign13,5049
344,Student44,Assign6,9050
345,Student44,Assign7,10448
346,Student44,Assign8,6652
347,Student44,Assign9,3194
348,Student44,Assign10,402
349,Student44,Assign11,3276
350,Student44,Assign12,4146
351,Student44,Assign13,0
