,Student,Assignment,Compilation_Count
217,Student28,Assign7,60
218,Student28,Assign8,30
219,Student28,Assign9,115
220,Student28,Assign10,95
221,Student28,Assign11,68
222,Student28,Assign12,120
223,Student28,Assign13,75
224,Student29,Assign6,167
225,Student29,Assign7,0
226,Student29,Assign8,164
227,Student29,Assign9,0
228,Student29,Assign10,0
229,Student29,Assign11,0
230,Student29,Assign12,71
231,Student29,Assign13,75
232,Student30,Assign6,406
233,Student30,Assign7,349
234,Student30,Assign8,109
235,Student30,Assign9,225
236,Student30,Assign10,369
237,Student30,Assign11,91
238,Student30,Assign12,154
239,Student30,Assign13,46
240,Student31,Assign6,129
241,Student31,Assign7,38
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,215
249,Student32,Assign7,223
250,Student32,Assign8,77
251,Student32,Assign9,32
252,Student32,Assign10,20
253,Student32,Assign11,29
254,Student32,Assign12,9
255,Student32,Assign13,0
256,Student33,Assign6,405
257,Student33,Assign7,129
258,Student33,Assign8,27
259,Student33,Assign9,138
260,Student33,Assign10,225
261,Student33,Assign11,101
262,Student33,Assign12,139
263,Student33,Assign13,0
264,Student34,Assign6,146
265,Student34,Assign7,55
266,Student34,Assign8,40
267,Student34,Assign9,75
268,Student34,Assign10,59
269,Student34,Assign11,27
270,Student34,Assign12,52
271,Student34,Assign13,0
272,Student35,Assign6,34
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,198
281,Student36,Assign7,228
282,Student36,Assign8,63
283,Student36,Assign9,233
284,Student36,Assign10,149
285,Student36,Assign11,72
286,Student36,Assign12,13
287,Student36,Assign13,13
288,Student37,Assign6,217
289,Student37,Assign7,50
290,Student37,Assign8,17
291,Student37,Assign9,73
292,Student37,Assign10,75
293,Student37,Assign11,22
294,Student37,Assign12,0
295,Student37,Assign13,0
296,Student38,Assign6,253
297,Student38,Assign7,109
298,Student38,Assign8,48
299,Student38,Assign9,68
300,Student38,Assign10,58
301,Student38,Assign11,82
302,Student38,Assign12,0
303,Student38,Assign13,202
304,Student39,Assign6,310
305,Student39,Assign7,101
306,Student39,Assign8,105
307,Student39,Assign9,88
308,Student39,Assign10,93
309,Student39,Assign11,81
310,Student39,Assign12,90
311,Student39,Assign13,109
312,Student40,Assign6,225
313,Student40,Assign7,189
314,Student40,Assign8,72
315,Student40,Assign9,95
316,Student40,Assign10,125
317,Student40,Assign11,54
318,Student40,Assign12,101
319,Student40,Assign13,0
320,Student41,Assign6,229
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,352
329,Student42,Assign7,48
330,Student42,Assign8,50
331,Student42,Assign9,161
332,Student42,Assign10,284
333,Student42,Assign11,101
334,Student42,Assign12,129
335,Student42,Assign13,213
336,Student43,Assign6,94
337,Student43,Assign7,188
338,Student43,Assign8,100
339,Student43,Assign9,65
340,Student43,Assign10,88
341,Student43,Assign11,53
342,Student43,Assign12,41
343,Student43,Assign13,49
344,Student44,Assign6,126
345,Student44,Assign7,51
346,Student44,Assign8,20
347,Student44,Assign9,0
348,Student44,Assign10,115
349,Student44,Assign11,65
350,Student44,Assign12,33
351,Student44,Assign13,0
